description â†“ - language â†’,default,hindi
survey.description,Version 1.3.3,
survey.Page0.Resp_Name.title,Name of Respondent,रेस्पोंडेंट का नाम
survey.Page0.Int_Name.title,Name of the Interviewer,इंटरव्यूअर का नाम
survey.Page1.State.title,State,राज्य
survey.Page1.State.choices.1,Odisha,ओडिशा
survey.Page1.State.choices.2,West Bengal,पश्चिम बंगाल
survey.Page1.State.choices.3,Bihar,बिहार
survey.Page1.State.choices.4,Chhattisgarh,छत्तीसगढ
survey.Page1.State.choices.5,Madhya Pradesh,मध्य प्रदेश
survey.Page1.State.choices.6,Chandigarh,चंडीगढ़
survey.Page1.State.choices.7,Uttar Pradesh,उत्तर प्रदेश
survey.Page1.State.choices.8,Delhi,दिल्ली
survey.Page1.State.choices.9,Manipur,मणिपुर
survey.Page1.State.choices.10,Assam,असम
survey.Page1.State.choices.11,Karnataka,कर्नाटक
survey.Page1.State.choices.12,Tamil Nadu,तमिलनाडु
survey.Page1.State.choices.13,Telengana,तेलंगाना
survey.Page1.State.choices.14,Gujarat,गुजरात
survey.Page1.State.choices.15,Maharashtra,महाराष्ट्र
survey.Page1.State.choices.16,Goa,गोवा
survey.Page2.District.title,District,ज़िला
survey.Page2.District.choices.1,Bhubaneshwar,भुवनेश्वर
survey.Page2.District.choices.2,Kolkata,कोलकाता
survey.Page2.District.choices.3,Patna,पटना
survey.Page2.District.choices.4,Raipur,रायपुर
survey.Page2.District.choices.5,Bhopal,भोपाल
survey.Page2.District.choices.6,Chandigarh,चंडीगढ़
survey.Page2.District.choices.7,Varanasi,वाराणसी
survey.Page2.District.choices.8,Lucknow,लखनऊ
survey.Page2.District.choices.9,Delhi,दिल्ली
survey.Page2.District.choices.10,Imphal,इंफाल
survey.Page2.District.choices.11,Guwahati,गुवाहाटी
survey.Page2.District.choices.12,Bangalore,बैंगलोर
survey.Page2.District.choices.13,Chennai,चेन्नई
survey.Page2.District.choices.14,Hyderabad,हैदराबाद
survey.Page2.District.choices.15,Ahmedabad,अहमदाबाद
survey.Page2.District.choices.16,Mumbai,मुंबई
survey.Page2.District.choices.17,Pune,पुणे
survey.Page2.District.choices.18,Goa,गोवा
survey.Page3.N_Area.title,Name of Area,एरिया का नाम
survey.Page3.N_Area.description,Type here,यहाँ टाइप करें
survey.Page4.T_Area.title,Type of area,एरिया का प्रकार
survey.Page4.T_Area.description,Ensure to correctly map the urbanity,शहरी क्षेत्र का सही मानचित्र सुनिश्चित करें
survey.Page4.T_Area.choices.1,Urban,शहरी
survey.Page4.T_Area.choices.2,Rural,ग्रामीण
survey.Page4.T_Area.choices.3,Semi-urban,अर्ध शहरी
survey.Page5.Int1.html,"<b>A. Introduction and Consent<br></b><br>
Good morning/afternoon/evening. I am [Name of Interviewer] from Ipsos. Ipsos is a global research organisation, dedicated to understanding public opinion on different socio-demographic topics across the world.
<p>
    <b>Study Introduction</b>
</p>
<p>
    We are conducting this study to gather important insights into the financial inclusion of the LGBTI community on behalf of International Finance Corporation (IFC), a member of the World Bank Group. This study aims to gather insights on both the barriers and opportunities for financial inclusion of LGBTI individuals in India. Your participation will help us provide useful information to banks and financial institutions so they can create products and services that better meet the needs of the LGBTI community.
</p>
<p>
    <b>Survey topic and duration</b>:
</p>
<p>
    The survey covers questions to gain a deeper understanding of your experiences of accessing and using various financial institutions (banks, mortgage and lending companies, etc.) to access financial products (bank accounts, insurance, etc.) or services (loans, etc.). Participation in this survey will take approximately 30 minutes of your time.
</p>
<p>
    <b>Voluntary Participation</b>
</p>
<p>
    Your participation is entirely voluntary. You may withdraw from the survey at any point without any consequences.
</p>
<p>
    <b>Confidentiality and Data Storage</b>
</p>
<p>
    All information collected in this study is entirely confidential and will be used solely for research purposes. Data will be anonymized and stored securely, ensuring no personal identifiers are recorded.
</p>
<p>
    <b>Potential Risks</b>
</p>
<p>
    We acknowledge that participating in discussions about financial inclusion involves minimal risk. We are committed to ensuring the confidentiality and comfort of all participants by strictly adhering to ethical guidelines.
</p>
<p>
    <b>Informed Consent</b>:
</p>
<p>
    Your participation will be highly valuable, and your responses will contribute significantly towards promoting a more inclusive financial environment for the LGBTI community in India.
</p>","<b>A. परिचय और सहमति <br></b><br>
गुड मॉर्निंग/ आफ्टरनून/ इवनिंग। मैं [इंटरव्यूअर का नाम] इप्सोस से हूँ। इप्सोस एक ग्लोबल रिसर्च संगठन है, जो दुनिया भर में अलग-अलग सामाजिक और जनमत से जुड़े विषयों पर लोगों की राय जानने का काम करती है।
<p>
    <b>स्टडी का परिचय</b>
</p>
<p>
  हम वर्ल्ड बैंक ग्रुप के एक सदस्य, इंटरनेशनल फाइनेंस कॉरपोरेशन (IFC) की ओर से LGBTI कम्युनिटी के वित्तीय समावेशन/ फाइनेंसियल इन्क्लूजन पर महत्वपूर्ण जानकारी एकत्र करने के लिए यह स्टडी कर रहे हैं। इस स्टडी का उद्देश्य भारत में LGBTI कम्युनिटी के वित्तीय समावेशन/ फाइनेंसियल इन्क्लूजन से जुड़ी बाधाओं और अवसरों, दोनों पर जानकारी एकत्र करना है। आपकी भागीदारी से हमें ऐसे महत्वपूर्ण सुझाव मिलेंगे जो बैंकों और वित्तीय संस्थानों को LGBTI कम्युनिटी की ज़रूरतों के अनुसार बेहतर प्रोडक्ट और सर्विसेज बनाने में मदद करेंगे।
</p>
<p>
    <b>सर्वे का विषय और अवधि </b>:
</p>
<p>
    इस सर्वे में ऐसे प्रश्न शामिल हैं जो यह समझने में मदद करेंगे कि आप विभिन्न वित्तीय संस्थानों (जैसे बैंक, लोन या मॉर्गेज कंपनियाँ आदि) से वित्तीय प्रोडक्ट्स (जैसे बैंक खाता, बीमा आदि) या सर्विसेज (जैसे लोन आदि) का उपयोग कैसे करते हैं और आपके अनुभव कैसे रहे हैं। इस सर्वे में भाग लेने में आपका लगभग 30 मिनट का समय लगेगा।
</p>
<p>
    <b>स्वैच्छिक भागीदारी</b>
</p>
<p>
    आपकी भागीदारी पूरी तरह से स्वैच्छिक है। आप किसी भी समय इस सर्वे से बिना किसी परिणाम या परेशानी के बाहर निकल सकते हैं।
</p>
<p>
    <b>गोपनीयता और डाटा स्टोरेज</b>
</p>
<p>
    इस स्टडी में एकत्र की गई सारी जानकारी पूरी तरह गोपनीय रखी जाएगी और केवल रिसर्च के उद्देश्यों के लिए ही उपयोग की जाएगी। डेटा को बिना किसी व्यक्तिगत पहचान के और सुरक्षित रूप से स्टोर किया जाएगा, ताकि आपकी पहचान गुप्त बनी रहे।
</p>
<p>
    <b>संभावित जोखिम </b>
</p>
<p>
    हम समझते हैं कि वित्तीय समावेशन/ फाइनेंसियल इन्क्लूजन से जुड़ी चर्चाओं में भाग लेना बहुत कम जोखिम वाला है। हम सभी प्रतिभागियों की गोपनीयता और सहजता बनाए रखने के लिए नैतिक दिशानिर्देशों का सख्ती से पालन करने के लिए प्रतिबद्ध हैं।
</p>
<p>
    <b>सूचित सहमति </b>:
</p>
<p>
    आपकी भागीदारी हमारे लिए अत्यंत मूल्यवान है। आपके उत्तर भारत में LGBTI कम्युनिटी के लिए एक अधिक समावेशी वित्तीय वातावरण बनाने में महत्वपूर्ण योगदान देंगे।
</p>
"
survey.Page6.A1.title,A1. Do you have any questions?,A1. क्या आपके पास कोई प्रश्न है?
survey.Page6.A1.choices.1,Yes,हाँ
survey.Page6.A1.choices.2,No,नहीं
survey.Page7.A1_1.title,"If yes, record the question and provide response","यदि हाँ, प्रश्न दर्ज करें और जवाब दें"
survey.Page8.A2.title,"A2. With your permission, can we proceed?","A2. आपकी अनुमति से, क्या हम आगे बढ़ सकते हैं?"
survey.Page8.A2.description,"If No, Thank you for your time","यदि नहीं, आपके समय के लिए धन्यवाद"
survey.Page8.A2.choices.1,Yes,हाँ
survey.Page8.A2.choices.2,No,नहीं
survey.Page9.Int2.html,"<b>B. Demographic Information</b><br>
<br>
To begin, I will ask you some questions about your personal details such as age, gender, education, place of residence etc. ","<b>B. डेमोग्राफिक्स जानकारी</b><br>
<br>
शुरू करने के लिए, मैं आपसे आपके कुछ व्यक्तिगत विवरण जैसे आपकी उम्र, लिंग, शिक्षा, निवास स्थान आदि के बारे में कुछ प्रश्न पूछूँगा/ पूछूंगी।"
survey.Page10.B1.title,B1. Can you please tell your age in complete years?,B1. कृपया पूरे सालों में मुझे अपनी उम्र बताएं?
survey.Page11.B1_PostCode.title,POST CODE,पोस्ट कोड
survey.Page11.B1_PostCode.choices.1,Less than 20 years,20 साल से कम
survey.Page11.B1_PostCode.choices.2,21 - 24 Years,21 - 24 साल
survey.Page11.B1_PostCode.choices.3,25 - 35 Years,25 - 35 साल
survey.Page11.B1_PostCode.choices.4,36 - 45 Years,36 - 45 साल
survey.Page11.B1_PostCode.choices.5,45 - 60 Years,45 - 60 साल
survey.Page11.B1_PostCode.choices.6,More than 60 years,60 साल से अधिक
survey.Page12.B2.title,B2. How would you describe your gender identity?,B2. आप अपने लैंगिक पहचान/ जेंडर आइडेंटिटी का वर्णन कैसे करेंगे/ करेंगी?
survey.Page12.B2.choices.1,Man,पुरुष
survey.Page12.B2.choices.2,Woman,महिला
survey.Page12.B2.choices.3,Transgender,ट्रांसजेंडर
survey.Page12.B2.choices.4,Other (Please Specify),अन्य (कृपया बताएं)
survey.Page12.B2.choices.99,I am not sure,मुझे पक्का पता नहीं
survey.Page13.B3.title,B3.  Which of the following best describes your sexual orientation?,B3. निम्नलिखित में से कौन आपके सेक्सुअल ओरिएंटेशन/ लैंगिक झुकाव का सबसे अच्छा वर्णन करता है?
survey.Page13.B3.choices.1,Heterosexual or straight,हेटरोसेक्सुअल या स्ट्रेट
survey.Page13.B3.choices.2,Lesbian,लेस्बियन
survey.Page13.B3.choices.3,Gay,गे
survey.Page13.B3.choices.4,Bisexual,बाइसेक्सुअल
survey.Page13.B3.choices.5,Other (Please Specify),अन्य (कृपया बताएं)
survey.Page13.B3.choices.99,I am not sure,मुझे पक्का पता नहीं
survey.Page14.B4.title,B4. Which of the following best describes the sex you were assigned at birth?,B4. निम्नलिखित में से कौन सबसे अच्छा वर्णन करता है कि जन्म के समय आपका कौन सा लिंग/ सेक्स निर्धारित किया गया था?
survey.Page14.B4.description,"Male or Female or Intersex: Some people are assigned male or female at birth but are born with sexual anatomy, reproductive organs, and/or chromosome patterns that do not fit the typical definition of male or female. This physical condition is known as intersex. ","पुरुष या महिला या इंटरसेक्स : कुछ लोगों को जन्म के समय पुरुष या महिला लिंग दिया जाता है, लेकिन उनकी यौन शारीरिक संरचना, प्रजनन अंग और/ या क्रोमोसोम पैटर्न सामान्य पुरुष या महिला की परिभाषा में फिट नहीं होते। इस शारीरिक स्थिति को इंटरसेक्स कहा जाता है।"
survey.Page14.B4.choices.1,Female,महिला
survey.Page14.B4.choices.2,Male,पुरुष
survey.Page14.B4.choices.3,Intersex,इंटरसेक्स
survey.Page15.B5.title,B5. What is your highest level of education?,B5. आपकी शिक्षा का उच्चतम स्तर क्या है?
survey.Page15.B5.choices.1,No education,कोई शिक्षा नहीं
survey.Page15.B5.choices.2,Literate but no formal schooling,पढ़ालिखा लेकिन औपचारिक स्कूली शिक्षा नहीं
survey.Page15.B5.choices.3,Up to Primary (class 1 to 5),प्राइमरी (कक्षा 1 से 5) तक
survey.Page15.B5.choices.4,Up to class 8,कक्षा 8 तक
survey.Page15.B5.choices.5,Below Secondary (class 10),सेकेंडरी (कक्षा 10) से नीचे
survey.Page15.B5.choices.6,Secondary (class 10) completed,सेकेंडरी (कक्षा 10) पूरी
